"Genotype","PAR","Photoss","simPhotoss"
"npq4",400,11.6295897120558,11.170415616934
"npq4",258,8.99064700278766,9.15939435676225
"npq4",200,7.57453521761421,7.80980823249519
"npq4",354,11.1950966636772,10.6535001534079
"npq4",246,8.7230612067512,8.91842242650439
"npq4",352,11.1659889108491,10.6283917163158
"npq4",324,10.6529735781907,10.2521591869227
"npq4",230,8.35850256424236,8.56878107855406
"npq4",266,9.17176235050393,9.31107620894539
"npq4",242,8.63348852833033,8.8342034037717
"npq4",366,11.3504224257629,10.7993922747729
"npq4",336,10.8978252630411,10.4191410165234
"npq4",346,11.072903177673,10.5516817474442
"npq4",232,8.40525395134296,8.61440410323192
"npq4",250,8.8122006219868,9.00064249200518
"npq4",288,9.707550326449,9.69678549849814
"npq4",512,11.5187006890228,12.0174721982543
"npq4",550,11.3865330376096,12.2015066178568
"npq4",208,7.80278939375534,8.02673136034847
"npq4",40,1.36609244265363,1.52017870599031
"npq4",376,11.455891996857,10.9148756440272
"npq4",160,6.31331677743916,6.58585901094187
"npq4",120,4.86103638398427,5.1302817311609
"npq4",510,11.5265506471877,12.0065654660449
"npq4",118,4.78305412138461,5.05133204925778
"npq4",114,4.62570474961506,4.89170564235815
"npq4",462,11.6884656403133,11.7026637071733
"npq4",176,6.83750091018682,7.10244006321556
"npq4",428,11.7132907581139,11.4323274244104
"npq4",180,6.96418531293649,7.22589671984719
"npq4",422,11.7046061235039,11.3793283123936
"npq4",122,4.93855962022829,5.20865624455495
"npq4",426,11.7109040755389,11.4148450031256
"npq4",216,8.01537078824318,8.23272690748738
"npq4",468,11.6738051780459,11.7453658878562
"npq4",84,3.3852429471049,3.62081419961437
"npq4",414,11.685572709279,11.3060524181205
"npq4",88,3.55691654415316,3.79780521337501
"npq4",424,11.7080132349857,11.3971790505505
"npq4",162,6.38044767861642,6.65244260126687
"npq4",126,5.09223678115268,5.36368130338196
"npq4",124,5.01562577199249,5.28645597383145
"npq4",508,11.5344051912974,11.9955278827833
"npq4",86,3.47132576475135,3.70960055807732
"rca2",300,8.54466635278033,9.63177480844477
"rca2",330,8.51921682112507,10.0244624953451
"rca2",350,8.55932098468367,10.2116122736993
"rca2",282,8.53925748024808,9.3433208250963
"rca2",242,8.18335447414922,8.60799001508778
"rca2",302,8.53940706144413,9.66249975344739
"rca2",290,8.55498154332957,9.4738938859709
"rca2",312,8.52103954256523,9.80608959458568
"rca2",304,8.53468509707771,9.69254699635471
"rca2",316,8.51727047035971,9.85896452295036
"rca2",306,8.53049391134384,9.72192306954448
"rca2",284,8.54511341021487,9.37636384343043
"rca2",322,8.51528665577721,9.9335534305578
"rca2",288,8.55299371769653,9.44163935898251
"rca2",308,8.52682695590529,9.7506345053944
"rca2",280,8.53214873405188,9.30999294654316
"rca2",314,8.51890598798926,9.83284631268248
"rca2",360,8.59403859540111,10.2852442006509
"rca2",400,8.81157991427688,10.4658715953306
"rca2",266,8.44884383529135,9.06779646018102
"rca2",200,7.43029737976927,7.61684154257808
"rca2",336,8.5268666919264,10.0864658181391
"rca2",230,8.0007219317577,8.35199787228705
"rca2",320,8.51546735259091,9.90931154951029
"rca2",262,8.41480881821279,8.99540587364929
"rca2",332,8.52132985892657,10.0457078085799
"rca2",244,8.21079429993081,8.64882306599267
"rca2",248,8.26293895549688,8.72901775357347
"rca2",334,8.52388199863942,10.0663734053853
"rca2",216,7.75254511706726,8.02718156408783
"rca2",250,8.28760723339955,8.7684014200198
"rca2",264,8.43237049313267,9.03179316400812
"rca2",368,8.62810562742138,10.3353218114051
"rca2",366,8.61909065081137,10.3235119401063
"rca2",506,9.66745793027677,10.3917325708861
"rca2",550,9.97080479732475,10.2958647186282
"rca2",166,6.59101374687781,6.61766919838733
"rca2",40,1.5078560819559,1.47363215568212
"rca2",370,8.63744183587265,10.3466695490738
"rca2",424,8.98701747581912,10.5022412621189
"rca2",206,7.55541913952079,7.77593967014662
"rca2",466,9.33500107717757,10.4759264114965
"rca2",168,6.64677942828912,6.68089726911177
"rca2",468,9.35205593274592,10.4726317640014
